iter	RMSE
0	2.20000338
1	2.096486678
2	1.998368795
3	1.905252603
4	1.817069254
5	1.733473758
6	1.654049295
7	1.579277556
8	1.508354197
9	1.440821863
10	1.377277088
11	1.31689812
12	1.260099847
13	1.206690782
14	1.156126677
15	1.108034143
16	1.062980608
17	1.020571155
18	0.9802721591
19	0.9425727482
20	0.9070383847
21	0.8737529744
22	0.8425072531
23	0.8133467461
24	0.7861389207
25	0.7603646411
26	0.7364404145
27	0.714180872
28	0.6927513655
29	0.6729881271
30	0.6546988615
31	0.6374165465
32	0.6214072431
33	0.6066214572
34	0.5928701196
35	0.5801565604
36	0.5683643086
37	0.5574518636
38	0.5475485962
39	0.5383643712
40	0.5298695901
41	0.5221587417
42	0.5147563801
43	0.50776997
44	0.5016129243
45	0.4957005007
46	0.4904433565
47	0.4854380707
48	0.4808984363
49	0.4769609815
50	0.4730134017
51	0.4692796283
52	0.4660380573
53	0.4630665073
54	0.4602512304
55	0.4576745688
56	0.4551651042
57	0.4529384919
58	0.4505365943
59	0.448760002
60	0.4470678504
61	0.4451837804
62	0.4433686771
63	0.4419888868
64	0.4403450693
65	0.4390558377
66	0.4376706109
67	0.435313999
68	0.4341745195
69	0.4332423672
70	0.4323543474
71	0.4313976338
72	0.4305891483
73	0.4298826804
74	0.4290776594
75	0.4284151974
76	0.4271701052
77	0.4263316525
78	0.4256547116
79	0.4248662631
80	0.4243038768
81	0.4229074705
82	0.4224558597
83	0.4215128013
84	0.4210671725
85	0.4204932747
86	0.4199521425
87	0.4195961127
88	0.4181342583
89	0.4169957779
90	0.4157131366
91	0.4151849444
92	0.4145934816
93	0.4138802261
94	0.4132129258
95	0.4127859704
96	0.4122493604
97	0.4119546709
98	0.4113093747
99	0.4106550421
100	0.4102007096
101	0.4099150914
102	0.4096531516
103	0.4090971999
104	0.4086254392
105	0.4081983101
106	0.4080139466
107	0.4075387501
108	0.4065880713
109	0.406347395
110	0.4054645736
111	0.4051914645
112	0.4049048509
113	0.4046583103
114	0.4044738469
115	0.403981731
116	0.4037915254
117	0.4035790713
118	0.4025829803
119	0.40234364
120	0.4014424824
121	0.4012644783
122	0.4010958992
123	0.400285261
124	0.3994835054
125	0.3992866483
126	0.3991385263
127	0.3985256633
128	0.3983005191
129	0.398054191
130	0.3978819069
131	0.3977725859
132	0.3974190243
133	0.3972185018
134	0.3965339707
135	0.3960873993
136	0.3956870767
137	0.3954982078
138	0.3950176237
139	0.3948901788
140	0.3942245309
141	0.393895504
142	0.393540515
143	0.3933958247
144	0.3931348921
145	0.3924899633
146	0.3923708367
147	0.3917887064
148	0.3912389089
149	0.391107251
150	0.3908683239
151	0.3903580294
152	0.3901465734
153	0.3900231058
154	0.3895116665
155	0.3891409537
156	0.3886573846
157	0.3884691506
158	0.3881247476
159	0.3875330795
160	0.3872613648
161	0.3871060432
162	0.3869783095
163	0.3868812239
164	0.3866110495
165	0.3862334389
166	0.3860804789
167	0.3856633059
168	0.3854746688
169	0.385052732
170	0.3847320021
171	0.384263332
172	0.3841470238
173	0.3840421056
174	0.3838797476
175	0.3837025808
