iter	Passed	Remaining
0	27	27757
1	44	22383
2	65	21693
3	89	22167
4	116	23142
5	144	23923
6	170	24198
7	188	23314
8	205	22650
9	232	23027
10	257	23131
11	283	23379
12	312	23711
13	337	23775
14	364	23905
15	391	24050
16	416	24063
17	437	23885
18	463	23932
19	511	25082
20	537	25064
21	556	24729
22	576	24502
23	601	24471
24	629	24553
25	655	24553
26	681	24568
27	711	24714
28	741	24813
29	770	24923
30	796	24906
31	823	24902
32	850	24918
33	878	24948
34	905	24969
35	933	24984
36	961	25029
37	984	24932
38	1008	24862
39	1033	24807
40	1060	24809
41	1089	24844
42	1116	24840
43	1145	24891
44	1171	24867
45	1198	24863
46	1224	24829
47	1251	24825
48	1280	24855
49	1308	24855
50	1337	24883
51	1365	24892
52	1393	24906
53	1421	24894
54	1441	24774
55	1463	24669
56	1492	24696
57	1518	24667
58	1541	24592
59	1568	24576
60	1599	24617
61	1626	24607
62	1651	24570
63	1681	24585
64	1708	24578
65	1736	24569
66	1763	24563
67	1792	24563
68	1822	24594
69	1851	24604
70	1881	24612
71	1910	24623
72	1938	24621
73	1970	24659
74	1998	24651
75	2023	24600
76	2043	24495
77	2063	24387
78	2082	24272
79	2100	24157
80	2130	24166
81	2158	24160
82	2186	24161
83	2215	24162
84	2258	24312
85	2285	24289
86	2313	24279
87	2341	24270
88	2372	24282
89	2402	24289
90	2429	24267
91	2454	24223
92	2480	24187
93	2501	24113
94	2534	24140
95	2561	24117
96	2590	24116
97	2621	24128
98	2651	24133
99	2682	24142
100	2711	24133
101	2738	24105
102	2765	24085
103	2794	24073
104	2822	24059
105	2846	24003
106	2869	23950
107	2903	23983
108	2933	23978
109	2961	23961
110	2991	23958
111	3012	23888
112	3043	23891
113	3068	23847
114	3097	23836
115	3124	23810
116	3150	23774
117	3178	23756
118	3204	23727
119	3232	23708
120	3263	23704
121	3290	23684
122	3317	23651
123	3348	23652
124	3376	23634
125	3404	23616
126	3430	23580
127	3459	23566
128	3488	23552
129	3515	23527
130	3542	23496
131	3569	23473
132	3595	23440
133	3625	23432
134	3653	23406
135	3677	23360
136	3695	23281
137	3719	23234
138	3745	23197
139	3763	23120
140	3788	23080
141	3809	23020
142	3839	23008
143	3866	22984
144	3889	22933
145	3918	22919
146	3940	22862
147	3968	22847
148	3994	22813
149	4013	22743
150	4030	22660
151	4058	22644
152	4085	22618
153	4108	22568
154	4127	22499
155	4150	22457
156	4179	22442
157	4206	22418
158	4235	22404
159	4265	22392
160	4289	22355
161	4315	22325
162	4343	22301
163	4369	22273
164	4392	22228
165	4416	22188
166	4439	22146
167	4467	22123
168	4497	22113
169	4530	22121
170	4550	22058
171	4574	22020
172	4598	21983
173	4621	21937
174	4641	21882
175	4663	21834
176	4692	21816
177	4717	21787
178	4744	21761
179	4772	21741
180	4797	21707
181	4816	21647
182	4844	21626
183	4870	21599
184	4894	21561
185	4923	21545
186	4952	21529
187	4979	21508
188	5006	21481
189	5033	21460
190	5062	21441
191	5087	21407
192	5112	21377
193	5136	21342
194	5162	21312
195	5190	21289
196	5218	21270
197	5240	21227
198	5260	21175
199	5282	21128
200	5306	21093
201	5334	21073
202	5363	21059
203	5391	21035
204	5418	21014
205	5448	20999
206	5473	20967
207	5500	20944
208	5526	20916
209	5553	20891
210	5581	20872
211	5609	20849
212	5632	20812
213	5661	20792
214	5689	20773
215	5715	20743
216	5742	20719
217	5771	20703
218	5799	20681
219	5824	20650
220	5850	20622
221	5878	20602
222	5904	20572
223	5932	20553
224	5960	20531
225	5981	20486
226	6000	20433
227	6025	20400
228	6045	20352
229	6070	20321
230	6090	20276
231	6117	20250
232	6143	20223
233	6167	20188
234	6188	20145
235	6211	20108
236	6235	20073
237	6257	20033
238	6279	19996
239	6299	19949
240	6323	19916
241	6346	19878
242	6367	19835
243	6389	19798
244	6415	19769
245	6446	19758
246	6476	19743
247	6505	19726
248	6532	19701
249	6560	19680
250	6593	19676
251	6619	19647
252	6645	19620
253	6672	19598
254	6703	19584
255	6728	19555
256	6758	19539
257	6788	19523
258	6817	19504
259	6842	19475
260	6865	19438
261	6889	19407
262	6917	19385
263	6937	19339
264	6962	19311
265	6985	19276
266	7015	19260
267	7044	19242
268	7069	19209
269	7091	19172
270	7114	19137
271	7134	19095
272	7159	19064
273	7190	19053
274	7213	19018
275	7238	18988
276	7272	18981
277	7295	18946
278	7320	18918
279	7341	18877
280	7362	18837
281	7382	18795
282	7406	18763
283	7429	18729
284	7457	18708
285	7479	18673
286	7502	18638
287	7522	18597
288	7542	18556
289	7566	18525
290	7589	18492
291	7611	18455
292	7633	18418
293	7653	18377
294	7670	18332
295	7692	18294
296	7722	18278
297	7751	18261
298	7775	18228
299	7795	18189
300	7815	18149
301	7842	18125
302	7869	18103
303	7892	18068
304	7918	18043
305	7944	18018
306	7969	17988
307	7994	17962
308	8021	17937
309	8045	17908
310	8074	17889
311	8103	17868
312	8130	17844
313	8148	17802
314	8167	17760
315	8185	17717
316	8210	17690
317	8229	17649
318	8248	17609
319	8278	17591
320	8304	17565
321	8330	17540
322	8358	17518
323	8387	17500
324	8414	17477
325	8441	17453
326	8462	17416
327	8484	17382
328	8508	17353
329	8524	17308
330	8545	17271
331	8573	17249
332	8598	17223
333	8624	17196
334	8656	17183
335	8682	17157
336	8709	17135
337	8746	17130
338	8772	17104
339	8793	17069
340	8812	17031
341	8830	16990
342	8851	16955
343	8878	16930
344	8905	16908
345	8935	16890
346	8960	16862
347	8983	16831
348	9011	16809
349	9036	16782
350	9064	16759
351	9089	16733
352	9114	16705
353	9140	16679
354	9167	16656
355	9192	16629
356	9219	16605
357	9245	16579
358	9273	16558
359	9298	16530
360	9325	16506
361	9350	16480
362	9377	16456
363	9405	16433
364	9433	16411
365	9460	16387
366	9487	16363
367	9514	16339
368	9542	16317
369	9571	16297
370	9597	16270
371	9623	16246
372	9650	16222
373	9680	16202
374	9705	16175
375	9730	16148
376	9757	16124
377	9782	16097
378	9806	16068
379	9836	16049
380	9864	16025
381	9888	15997
382	9914	15971
383	9932	15933
384	9950	15895
385	9974	15865
386	9996	15834
387	10024	15811
388	10054	15792
389	10079	15765
390	10104	15737
391	10133	15716
392	10160	15693
393	10186	15667
394	10211	15640
395	10236	15613
396	10257	15579
397	10274	15541
398	10300	15515
399	10331	15496
400	10353	15465
401	10372	15429
402	10398	15404
403	10423	15377
404	10450	15352
405	10475	15326
406	10502	15301
407	10525	15272
408	10575	15281
409	10594	15245
410	10618	15216
411	10642	15188
412	10666	15160
413	10692	15134
414	10710	15098
415	10730	15064
416	10756	15038
417	10782	15013
418	10806	14985
419	10840	14969
420	10864	14941
421	10895	14923
422	10923	14900
423	10948	14873
424	10974	14847
425	10999	14820
426	11024	14793
427	11043	14759
428	11068	14731
429	11095	14708
430	11120	14681
431	11148	14658
432	11173	14631
433	11200	14607
434	11227	14582
435	11254	14557
436	11280	14532
437	11305	14506
438	11330	14479
439	11357	14454
440	11384	14430
441	11408	14402
442	11433	14375
443	11457	14348
444	11485	14324
445	11511	14299
446	11538	14274
447	11560	14244
448	11593	14226
449	11612	14193
450	11630	14158
451	11657	14133
452	11683	14107
453	11704	14076
454	11732	14053
455	11757	14026
456	11783	14000
457	11807	13973
458	11825	13938
459	11842	13902
460	11866	13874
461	11892	13848
462	11920	13826
463	11947	13801
464	11973	13776
465	12000	13751
466	12028	13728
467	12059	13708
468	12086	13684
469	12112	13658
470	12137	13632
471	12161	13604
472	12188	13580
473	12213	13553
474	12240	13528
475	12263	13500
476	12290	13475
477	12312	13446
478	12330	13411
479	12347	13376
480	12374	13352
481	12400	13327
482	12426	13300
483	12450	13273
484	12480	13252
485	12507	13228
486	12537	13206
487	12566	13184
488	12593	13160
489	12620	13135
490	12655	13118
491	12682	13094
492	12708	13068
493	12735	13045
494	12760	13018
495	12788	12994
496	12815	12970
497	12833	12936
498	12854	12906
499	12880	12880
500	12908	12856
501	12928	12825
502	12950	12796
503	12974	12768
504	13001	12743
505	13019	12710
506	13037	12677
507	13061	12650
508	13089	12626
509	13112	12598
510	13139	12573
511	13165	12548
512	13192	12523
513	13218	12498
514	13242	12471
515	13269	12446
516	13294	12420
517	13319	12393
518	13344	12367
519	13364	12336
520	13391	12312
521	13412	12282
522	13438	12256
523	13464	12231
524	13489	12205
525	13515	12179
526	13539	12151
527	13564	12126
528	13590	12100
529	13616	12074
530	13641	12048
531	13666	12022
532	13692	11997
533	13717	11970
534	13738	11941
535	13766	11916
536	13790	11890
537	13810	11859
538	13828	11827
539	13852	11800
540	13875	11772
541	13895	11742
542	13913	11709
543	13936	11681
544	13958	11653
545	13989	11632
546	14016	11607
547	14036	11577
548	14056	11547
549	14077	11518
550	14099	11489
551	14119	11459
552	14143	11432
553	14166	11404
554	14189	11377
555	14214	11351
556	14238	11323
557	14263	11298
558	14288	11271
559	14316	11248
560	14343	11224
561	14364	11195
562	14393	11172
563	14413	11142
564	14432	11111
565	14457	11085
566	14488	11064
567	14509	11035
568	14530	11006
569	14558	10982
570	14586	10958
571	14611	10933
572	14639	10909
573	14666	10885
574	14693	10860
575	14719	10834
576	14747	10811
577	14777	10789
578	14804	10764
579	14829	10738
580	14855	10713
581	14882	10688
582	14909	10664
583	14944	10645
584	14971	10620
585	14998	10596
586	15023	10570
587	15049	10545
588	15075	10519
589	15102	10495
590	15132	10472
591	15160	10448
592	15186	10423
593	15214	10399
594	15250	10380
595	15279	10356
596	15302	10329
597	15323	10301
598	15344	10272
